TIME,MACHINE,RESULT
03.10.2024 10:05:30,.,Able to connect to WMI. 
03.10.2024 10:05:30,.,'Audit Result - 03.10.2024 10:05:30,. - Able to connect to WMI.  - Completed OK.'
03.10.2024 10:05:30,.,'Audit Result - No username and password provided - therefore assuming local domain PC. - Completed OK.'
03.10.2024 10:05:30,.,Started
03.10.2024 10:05:30,.,'Audit Result - PC name supplied: . - Completed OK.'
03.10.2024 10:05:30,.,'Audit Result - PC name from WMI: PAT14SV - Completed OK.'
03.10.2024 10:05:30,.,'Audit Result - User executing this script: Administrator - Completed OK.'
03.10.2024 10:05:30,.,'Audit Result - System UUID: B8A9C7C8-EF9A-9A3F-7AD8-0019996D8383 - Completed OK.'
03.10.2024 10:05:30,.,'Audit Result - IP: 10.10.10.1 - Completed OK.'
03.10.2024 10:05:30,.,'Audit Result - C:\Program Files (x86)\xampplite\htdocs\openaudit\all-tools-scripts\offline-scan\PAT14SV.txt - Completed OK.'
03.10.2024 10:05:30,.,'Audit Result - Network Info - Completed OK.'
03.10.2024 10:05:40,.,'Audit Result - System Information - Completed OK.'
03.10.2024 10:05:41,.,'Audit Result - TPM auslesen... - Completed OK.'
03.10.2024 10:05:41,.,'Audit Result - TPM Version:  - Completed OK.'
03.10.2024 10:05:41,.,'Audit Result - Windows Info - Completed OK.'
03.10.2024 10:05:42,.,'Audit Result - Bios Info - Completed OK.'
03.10.2024 10:05:42,.,'Audit Result - Processor Info - Completed OK.'
03.10.2024 10:05:43,.,'Audit Result - Memory Info - Completed OK.'
03.10.2024 10:05:43,.,'Audit Result - Windows optional features installed - Completed OK.'
03.10.2024 10:05:44,.,'Audit Result - Video Info - Completed OK.'
03.10.2024 10:05:44,.,'Audit Result - Monitor Info - Completed OK.'
03.10.2024 10:05:47,.,'Audit Result - Monitor Info - Completed OK.'
03.10.2024 10:05:47,.,'Audit Result - USB Devices - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result - Hard Disk Info - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result - Partition Info - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result -  Type: Installable File System - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result -  Bitlocker:  - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result -  Type: Installable File System - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result -  Bitlocker:  - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result -  Type: GPT: Basic Data - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result -  Bitlocker:  - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result -  Type: GPT: Basic Data - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result -  Bitlocker:  - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result - SCSI Cards - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result - SCSI Devices - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result - Optical Drive Info - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result - Floppy Drives - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result - Tape Drive Info - Completed OK.'
03.10.2024 10:05:53,.,'Audit Result - Keyboard Info - Completed OK.'
03.10.2024 10:05:54,.,'Audit Result - Battery Info - Completed OK.'
03.10.2024 10:05:54,.,'Audit Result - Modem Info - Completed OK.'
03.10.2024 10:05:54,.,'Audit Result - Mouse Info - Completed OK.'
03.10.2024 10:05:54,.,'Audit Result - Sound Card Info - Completed OK.'
03.10.2024 10:05:54,.,'Audit Result - Printer Info - Completed OK.'
03.10.2024 10:05:54,.,'Audit Result - Share Info - Completed OK.'
03.10.2024 10:05:54,.,'Audit Result - Mapped Drives Info - Completed OK.'
03.10.2024 10:05:54,.,'Audit Result - Local Groups Info - Completed OK.'
03.10.2024 10:05:57,.,'Audit Result - Local Users Info - Completed OK.'
03.10.2024 10:05:57,.,'Audit Result - Scheduled Tasks Info - Completed OK.'
03.10.2024 10:05:58,.,'Audit Result - System Environment Variables Info - Completed OK.'
03.10.2024 10:05:58,.,'Audit Result - Event Logs Info - Completed OK.'
03.10.2024 10:05:58,.,'Audit Result - Ip Routes Info - Completed OK.'
03.10.2024 10:05:58,.,'Audit Result - Pagefile Info - Completed OK.'
03.10.2024 10:05:58,.,'Audit Result - Motherboard Info - Completed OK.'
03.10.2024 10:05:59,.,'Audit Result - Onboard devices Info - Completed OK.'
03.10.2024 10:05:59,.,'Audit Result - AV - Security Center Settings - Completed OK.'
03.10.2024 10:05:59,.,'Audit Result - Path  - Completed OK.'
03.10.2024 10:05:59,.,'Audit Result - Software Windows QFE Fixes - Completed OK.'
03.10.2024 10:06:00,.,'Audit Result - Startup Programs - Completed OK.'
03.10.2024 10:06:00,.,'Audit Result - Services - Completed OK.'
03.10.2024 10:06:00,.,'Audit Result - Internet Explorer Browser Helper Objects - Completed OK.'
03.10.2024 10:06:00,.,'Audit Result - Installed Software 32 Bit - Completed OK.'
03.10.2024 10:06:03,.,'Audit Result - Installed Software 64 Bit - Completed OK.'
03.10.2024 10:06:04,.,'Audit Result - Installed Software 32 Bit (current user) - Completed OK.'
03.10.2024 10:06:05,.,'Audit Result - Installed Software 64 Bit (current user) - Completed OK.'
03.10.2024 10:06:05,.,'Audit Result - Installed Software 32 Bit (for each User) - Completed OK.'
03.10.2024 10:06:05,.,'Audit Result - Installed Modern Apps 32 Bit per User - Completed OK.'
03.10.2024 10:06:06,.,'Audit Result - Installed Media Codecs - Completed OK.'
03.10.2024 10:06:06,.,'Audit Result - MDAC/WDAC, DirectX, Media Player, IE and OE Versions - Completed OK.'
03.10.2024 10:06:06,.,'Audit Result - Winver20348.1.amd64fre.fe_release.210507-1500 - Completed OK.'
03.10.2024 10:06:06,.,'Audit Result - Firefox Extensions - Completed OK.'
03.10.2024 10:06:06,.,'Audit Result - Windows Firewall Settings - Completed OK.'
03.10.2024 10:06:06,.,'Audit Result - CD Keys - Completed OK.'
03.10.2024 10:06:06,.,'Audit Result - Office 2013 Visio Project - 64 Bit - Completed OK.'
03.10.2024 10:06:06,.,'Audit Result - Office 2010 Visio Project - 64 Bit - Completed OK.'
03.10.2024 10:06:07,.,'Audit Result - Windows keys 64bit - Completed OK.'
03.10.2024 10:06:07,.,'Audit Result - IIS Info - Completed OK.'
03.10.2024 10:06:07,.,'Audit Result - ODBC Connections (64-Bit, System DSN only - Completed OK.'
03.10.2024 10:06:07,.,'Audit Result - Name: DigitalProductId - Completed OK.'
03.10.2024 10:06:07,.,'Audit Result - SOFTWARE\ODBC\ODBC.INI\DigitalProductId - Completed OK.'
03.10.2024 10:06:07,.,'Audit Result - Audit.vbs Execution Time: 37 seconds. - Completed OK.'
03.10.2024 10:06:07,.,'Audit Result - Total Execution Time: 37 seconds. - Completed OK.'
03.10.2024 10:06:10,.,Completed
