Datum;Rating;Ldfnr;Produkt;Version;Bemerkungen;vorinstall;Quelle;Lizenztyp;Lizenzgeber;Lizenzbestimmungen;instlocation;Herstellerwebsite;Link;BMIcon
"2022-01-17 10:00:00";"7";"471";"64 Bit HP CIO Components Installer";"22.2.1";"HP Druckertreiber-Komponente aus dem Universal Druckertreiber von HP, 64-Bit, Installer Download aktuelle Version";"";"Internet";"Treibersoftware";"HP";"";"sc";"https://support.hp.com/de-de/drivers/hp-universal-print-driver-series-for-windows/model/3271558";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACc0lEQVQ4jW3TP2iVZxTH8c953ps/Da1IoItDcSjB2gwlQilOEopDcHDQUIJDkRKCtosUBynFoRTHDlJEHIpDCJqhQ5DQoQTJ0KGE0iEEkSBFpLRpsNHcNtf3vqdDrjaWnvWc7+85f35PZGbYE3F1bVTxntb2N+qhi8Kn0n2Rd2XOef3tlTyteVH/XCCur+/T/HVJlo9wxUC5ptMsSWN79Ldk3pTlcp4/tPlCIK6v79PduYZTxCYmFP26uSwUL0eNRXXf2fzkzY3dZLNzaRfWwortzppuM/U/sN2anFA6X8RtpRVX10ZVpntwLXNeNdwoTx9ommuKEzIOkHPSZm/yIcW4jdWjRWmmsB+khyp3DTw+KJtf8tzhc9JN3NfXXFDlDcp3Wu0ZmYs4U4Txf09gWfu1h6J8RpzYHa+M4o4n+7c0cQXva706KGKEOB6+Xv0Dw73lnFTc01jABZ3uj/qrB0qM021ryrwoH4r6qab8gE7hxaLWVFZ04xioBpYNtM5gzZPOz5pqAr/JzqqmnMIgFGG91/+irWdbIieJedv9HZkniVuGBwrNJL5Vv9LC8d6jj4vMJbQ1zbyh6jDeUCxo/TmCMVV9y3Y1SMzK7pzYGcM7PRt+X2TO4ZEqjotyQcSQxjGt8jlWcnp0XevZu1ItYkorvkQ/2iJmw62s/L76lYiZnhd6kbXwsTI4p975STi4x0wNZlXtsyVPa2S5jMVeosfHY1oLnv19TDjwH/iuysWcPlIXyPOHNtV9Z8kbeApKLOXMyCPFZK9laJOzKlM5/davL/1GiNuKjdWjIj6Q7qgGlnU798i2yCURs6K9lNNH6ufMP5qxB6PQCmvjAAAAAElFTkSuQmCC"
"2024-11-30 13:35:37";"10";"1";"7-Zip";"24.09";"kostenfreies Open-Source-Packprogramm (64-Bit Version, NSIS Installer mit RAR 6 Unterstützung). Mit 7zSFX Oberfläche (aus Innosetup-Bundle) für Autoinstallations-Dateien zur Software-Verteilung nutzbar. Bugfixes und neue Funktionen, RAR6-Unterstützung, schnellere Kompressionsverfahren. Achtung: Nach der Installation die Hilfedatei: 7-zip.chm löschen!";"Deploy, Repack";"Internet";"GPL-Lizenz, kostenfrei";"7-Zip Org";"im Installationspaket";"sc";"https://www.7-zip.org/";"1";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAYklEQVQ4jcXSQQ7AIAhE0U/j/a9MF42NGRFtXcjOgA9CgNNhgO8ABcD9n2FmD1Afo8galFlhBndAW6yYQjV/ZSMrGE3YAdFnnaKFwgm+xDIQdUeXyMLWFXqB2TGN8tunfD5uwKMsGMeKHEYAAAAASUVORK5CYII="
"2022-03-08 12:23:23";"9";"2";"7-Zip SFX-Creator";"1.3";"Werkzeug für Installationspakete mit GUI für 7-Zip, in Kombination mit Ressource Hacker für eigene Paket-Icons. Google Quellcode Seite leider eingestellt, Im Gegensatz zur 7-Zip Oberfläche kann hier eine auszuführende Datei angegeben werden beim Erstellen. Repack im Innosetup Bundle enthalten.";"Deploy, Repack";"Internet";"GPL-Lizenz, kostenfrei";"SFX-Creator project";"im Installationspaket";"c";"";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAYklEQVQ4jcXSQQ7AIAhE0U/j/a9MF42NGRFtXcjOgA9CgNNhgO8ABcD9n2FmD1Afo8galFlhBndAW6yYQjV/ZSMrGE3YAdFnnaKFwgm+xDIQdUeXyMLWFXqB2TGN8tunfD5uwKMsGMeKHEYAAAAASUVORK5CYII="
"2022-03-17 15:12:23";"1";"562";"Acronis True Image";"25.8.39216";"Datensicherungssoftware zum Erstellen von Images eines Rechners. Funktioniert auch mit Bordmitteln, bitte deinstallieren";"";"";"Lizenzsoftware";"";"";"x";"";"0";""
"2022-01-01 13:20:15";"3";"485";"ActiveState ActivePython";"2.4";"wird für w.shop Schnittstellen der GWS benötigt";"";"";"GPL-Lizenz, kostenfrei";"GWS mbH";"";"s";"";"0";""
"2020-01-17 10:00:00";"6";"460";"Adobe Acrobat DC";"2022";"Mietsoftware im Rahmen der Creative Cloud";"";"aus Originalquelle";"Lizenzsoftware";"Adobe Inc.";"";"c";"";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABc0lEQVQ4jaWTvUoDURCFv7lZf0A0608Sf4gawcJC0ELByibYWdhoYRmEoOID+AA+gJ2QwlewsIrWPoGFYBVB4m7EiASU7O61yBruromCTnXnMOfMmbn3wj9DOoG1Uaa0z7mJJYTCyAuVeK3VSSDwKQJ5E/MCisDxrw409Lo2FSATN9aok83BuwmquIAzzHYHMsDYgM1OHPwmIAH7RvoCeEZ+8KOAY7OMsNYWE0oCl0bJSm2I1Z8cHBlnjUdJC2dmQaCiLtpLfBxkzFI8IPSHUDldZ0ODcm3ugVyIf+gmM5kGTxEHlsWeQUbrVmeBAKFkNO2TXgoRBxoSYZfZ0Hw19cq0QBPASTFOkwrQE/IeUnXmBDwVLm+zTW7J3jhJ1p+S5KtJcmmXKnBhuMiGnNYICg5jy9wSoSxCWQmn5khGHAJIbZSFwOe2278Amp7P5MQbz67NHTDfvhFh0Qp81gSuu5ABSCiWBK4cOBHY/cKVjr6JP8Uns7xjI0YQodQAAAAASUVORK5CYII="
"2024-04-15 15:23:53";"1";"450";"Adobe Acrobat Reader DC";"24.002.20687";"PDF-Betrachter. Da das Produkt mittlerweile ziemlich ressourcenhungrig ist und langsam, ist der Einsatz des PDF-Viewers des Browsers Chrome oder Edge zu empfehlen. Der Reader kann dann deinstalliert werden, Wenn nicht, stets die aktuelle Version einsetzen";"";"Internet";"kostenfrei auch kommerziell";"Adobe Inc.";"im Installationspaket";"x";"https://www.adobe.com/devnet-docs/acrobatetk/tools/ReleaseNotesDC/index.html";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABc0lEQVQ4jaWTvUoDURCFv7lZf0A0608Sf4gawcJC0ELByibYWdhoYRmEoOID+AA+gJ2QwlewsIrWPoGFYBVB4m7EiASU7O61yBruromCTnXnMOfMmbn3wj9DOoG1Uaa0z7mJJYTCyAuVeK3VSSDwKQJ5E/MCisDxrw409Lo2FSATN9aok83BuwmquIAzzHYHMsDYgM1OHPwmIAH7RvoCeEZ+8KOAY7OMsNYWE0oCl0bJSm2I1Z8cHBlnjUdJC2dmQaCiLtpLfBxkzFI8IPSHUDldZ0ODcm3ugVyIf+gmM5kGTxEHlsWeQUbrVmeBAKFkNO2TXgoRBxoSYZfZ0Hw19cq0QBPASTFOkwrQE/IeUnXmBDwVLm+zTW7J3jhJ1p+S5KtJcmmXKnBhuMiGnNYICg5jy9wSoSxCWQmn5khGHAJIbZSFwOe2278Amp7P5MQbz67NHTDfvhFh0Qp81gSuu5ABSCiWBK4cOBHY/cKVjr6JP8Uns7xjI0YQodQAAAAASUVORK5CYII="
"2024-09-19 12:28:29";"5";"461";"Adobe Creative Cloud";"6.4.0.361";"Mietsoftware mit Adobe-Cloudspeicher, Cloud-Diensten und KI-Funktionen, enthält Profi-Werkzeuge wie Photoshop, Acrobat, InDesign, Illustrator und andere Grafikwerkzeuge, nicht für Terminalserver geeignet";"";"aus Originalquelle";"Mietlizenz Subscription";"Adobe Inc.";"";"c";"";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABc0lEQVQ4jaWTvUoDURCFv7lZf0A0608Sf4gawcJC0ELByibYWdhoYRmEoOID+AA+gJ2QwlewsIrWPoGFYBVB4m7EiASU7O61yBruromCTnXnMOfMmbn3wj9DOoG1Uaa0z7mJJYTCyAuVeK3VSSDwKQJ5E/MCisDxrw409Lo2FSATN9aok83BuwmquIAzzHYHMsDYgM1OHPwmIAH7RvoCeEZ+8KOAY7OMsNYWE0oCl0bJSm2I1Z8cHBlnjUdJC2dmQaCiLtpLfBxkzFI8IPSHUDldZ0ODcm3ugVyIf+gmM5kGTxEHlsWeQUbrVmeBAKFkNO2TXgoRBxoSYZfZ0Hw19cq0QBPASTFOkwrQE/IeUnXmBDwVLm+zTW7J3jhJ1p+S5KtJcmmXKnBhuMiGnNYICg5jy9wSoSxCWQmn5khGHAJIbZSFwOe2278Amp7P5MQbz67NHTDfvhFh0Qp81gSuu5ABSCiWBK4cOBHY/cKVjr6JP8Uns7xjI0YQodQAAAAASUVORK5CYII="
"2022-01-08 15:22:35";"1";"505";"Adobe Flash Player";"29.0";"obsolet, da ohne Funktion seit EOL. Muss deinstalliert werden.";"";"";"";"";"";"x";"";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABc0lEQVQ4jaWTvUoDURCFv7lZf0A0608Sf4gawcJC0ELByibYWdhoYRmEoOID+AA+gJ2QwlewsIrWPoGFYBVB4m7EiASU7O61yBruromCTnXnMOfMmbn3wj9DOoG1Uaa0z7mJJYTCyAuVeK3VSSDwKQJ5E/MCisDxrw409Lo2FSATN9aok83BuwmquIAzzHYHMsDYgM1OHPwmIAH7RvoCeEZ+8KOAY7OMsNYWE0oCl0bJSm2I1Z8cHBlnjUdJC2dmQaCiLtpLfBxkzFI8IPSHUDldZ0ODcm3ugVyIf+gmM5kGTxEHlsWeQUbrVmeBAKFkNO2TXgoRBxoSYZfZ0Hw19cq0QBPASTFOkwrQE/IeUnXmBDwVLm+zTW7J3jhJ1p+S5KtJcmmXKnBhuMiGnNYICg5jy9wSoSxCWQmn5khGHAJIbZSFwOe2278Amp7P5MQbz67NHTDfvhFh0Qp81gSuu5ABSCiWBK4cOBHY/cKVjr6JP8Uns7xjI0YQodQAAAAASUVORK5CYII="
"2022-05-16 10:06:56";"10";"9";"Advanced IP Scanner";"2.5.4594.1";"Netzwerk IP-Scanner, Inventarisierung, Standardports scanbar aus der Anwendung, Export als CSV und HTML, Portable Version, kann direkt ausgeführt werden ohne Installation, Bugfix Release";"Portable, Repack";"aus Originalquelle";"kostenfrei auch kommerziell";"Famatech";"im Installationspaket";"c";"https://www.advanced-ip-scanner.com/de/";"1";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAADHklEQVQ4jW2TXWiWZRzGf//7ed73zb37cH4k06WRYahLRYToJENosTqIEYTQaUd1YhAdFNhBEkRQg9Ig6IPAEwshJKIPciptQ4naUJSs5rSNbax9vnuf+76f+77/HUw6qev4ui64uPgJqvL44GB2O+yvP5j0TK1aPazBKSD8RwYRVYNkLbU8y4if/muacrr7+pwbMagXQfX/ChSCkpbLVP9h0tenVz35Oz9N37uc5b2DfyztO9S1rl0kAxS5m9e7WQGiKjvaKtQySGVY+WDU3pMPz7rBUM13/zLT5KOxec1ESEBKihEwIiRdqwpJ2Vav6MdP3Sf13DSsLfN8oUi74/JcFDEYNFvykdwI1cxQhESZEq21HAGMKrfmPXNFEFIyReElbzZWkwgGwJZJe3d2yNF9m3R7R1XuLHm+/m2BczcWUCATIaiiSUkxYa3HeFeKt14WVywvHNgob/duR2OUM6OzzDccrz+2jRNHuildSWEdrvCoKjFEXNOTl9ZLwwUO7+yUlx7dyrsXbjNw6S/C2nCefXgz7/fv4rm9Gzg5NElbLScliClhncc4V7La9DyzZyN3Fizv/ThBRSMdObRlcPrKJOdvztPfswkTI82mR0nEmLCFx9imJ4XA5nqFifkCaz3BBxpNT+lKSldyY3qF7o4aEgLNpgNde8kWQU3pA0srlt9nGvR0tVLRxN9LltKVLKxYvC15ZMd6/pwrdKnhtXQlqmgKqs46NdZ6NAQ+uTjO+pYKJ4/upZ4pi8sFsQy8+sQDHNzewcD3N2VxcVVijBpTkhiDUPha3iy8VgS5dG1Wj50elYHn9/NkzxZ+nVikp7ud9nUVAPr2btHPB2/RWCkwoGUZqzTshSzu6T8eQxQjKiNXZ/W7azOSCXS2VPh5fJ43z17l4o05feXph2RXV6ueuzzF1o7aic7W7I2zp4ZP5W0uGFd6jGRqRGX4ygTDI+NINUNDWoMhRJmeWkhfvHbEdG9o5/hnw0Pn3+q7rIrk99f4Zno19oXgVBBajIqIEF3EGNagqoh++dUYx1pqDLx48NsPXz40NHZgDZt/AP/m089HM/7yAAAAAElFTkSuQmCC"
